experiment,correct,incorrect,unrecognized,total,avg_confidence,max_confidence,min_confidence,sum_confidence_correct,num_components,threshold
70,2,2,0,4,875.8584961794521,1235.2460334904504,218.1420669258657,1453.388100416316,621,97761
71,1,3,0,4,1013.7790562763898,2164.370989001326,572.0971633571354,737.2236764735142,654,61427
72,2,2,0,4,1058.9587504719843,1395.44483479854,388.4507282365744,1783.8955630351143,429,73228
73,2,2,0,4,999.8695430661597,1186.5123898510278,807.4871689044857,2283.738546361612,974,2277
74,1,3,0,4,824.7042475721062,1505.4448067187388,310.8112714468345,781.707537071362,175,63559
75,2,2,0,4,657.5479265880098,889.9796781797751,174.85319008600973,1565.3588380862543,956,72379
76,1,3,0,4,653.8999395574116,818.8006802511268,500.1153906847904,500.1153906847904,566,97374
77,2,2,0,4,1148.4473092773133,1711.56463053857,882.713543494687,1873.3643891915208,399,39412
78,2,2,0,4,662.6567264820017,1101.359255470499,201.32682426191408,1203.079750421928,378,1760
79,2,2,0,4,603.50957900463,947.5140875384708,316.383617265377,785.3440635106091,738,69428
80,2,2,0,4,708.2630886208703,826.7536562432208,641.2208009961707,1467.9744572393915,7,25994
81,2,2,0,4,814.5258681330038,1685.1838585276428,293.0159644333624,929.296005308235,618,74853
82,2,2,0,4,970.7467984392665,1533.3389299274052,413.5694970230912,2961.2924540651907,381,80490
83,2,2,0,4,492.87121563621486,1061.380832509672,259.6956240721324,650.4084059630549,6,38954
84,2,2,0,4,833.8611889809264,1278.748163131732,483.4483288496541,1573.2482639423195,311,62451
85,2,2,0,4,949.6974959941372,1440.1393705317766,354.5353072910618,2711.7649257767034,392,59984
86,2,2,0,4,713.9845654975562,1117.8610486956488,306.32117160845,1424.1822203040988,519,92412
87,2,2,0,4,917.7692346568678,1448.7240933884982,325.33623223192774,2074.5588278706455,323,47312
88,2,2,0,4,794.4291981271551,1115.6646574133276,524.9560160165303,1692.8805675858393,396,25784
89,2,2,0,4,584.2205454952599,830.5244964545441,354.70217667302586,1450.7603314093285,937,48479
90,4,0,0,4,826.6133113582537,1291.693841958684,320.8509456402186,3306.4532454330147,961,57631
91,2,2,0,4,780.875617889702,1018.8675266605222,312.6110684254258,1801.649758461766,732,84844
92,2,2,0,4,957.6865326789239,1377.609533869488,587.8178453934122,2243.5853964302987,833,3780
93,2,2,0,4,866.7462804665624,1706.866670223573,491.1325204788957,2197.9991907024687,274,54313
94,1,2,1,4,4.4942328371557893e+307,1.7976931348623157e+308,464.8671163368689,666.1980904872612,437,803
95,2,2,0,4,956.0368316917246,1760.027482895699,554.136663054372,1509.9831808168274,601,58588
96,2,2,0,4,882.395043934899,1384.489284554904,327.79822753744736,1031.6480486913952,584,51589
97,2,2,0,4,1017.5946472291885,1898.463895050785,165.07569325610234,2006.8390006098662,688,33520
98,2,2,0,4,966.7854748947237,1924.245653486472,257.4854573790294,1103.3363675822177,956,28072
99,2,2,0,4,924.2104640902062,1003.658180362524,782.6689584134343,1768.9136999793122,732,23901
100,1,3,0,4,793.0342454128127,1013.7352211005714,596.9389625876383,1013.7352211005714,272,78221
101,2,2,0,4,806.8951200350865,950.677760802748,473.0156497009631,1803.8870696366348,127,65232
102,2,2,0,4,826.7543522860135,997.9470538325118,516.7651318952957,1873.775708583152,315,67050
103,2,2,0,4,722.0966607133826,1315.8132755573192,158.05209424012952,1414.5212730560813,943,86900
104,2,2,0,4,714.2221504413137,1574.005745318063,197.05267803888648,1074.6490865413762,819,19169
